risk_id,risk_name,risk_category,severity,probability,risk_score,risk_priority,risk_description,evidence,recommended_action,source_doc_id,source_filename,source_page,source_chunk_id,fecha_documento,fecha_documento_texto
RISK_0001,Atraso en entregables,Cronograma,Media,Alta,6,Alto,El entregable con mayor número de días de atraso es de 17 días.,el entregable con mayor número de días de atraso es de 17 días,Revisar el cronograma y establecer medidas para recuperar el tiempo perdido.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,1,DOC_005_RCHUNK_001,2023-06-21,2023-06-21
RISK_0009,Cambio de fecha de finalización del piloto,Cronograma,Media,Alta,6,Alto,Retraso en la finalización del piloto que afecta la entrada en operación.,"Cambio de la fecha finalización del piloto (07 de julio de 2023), lo cual traslada la entrada en operación para el 10 de julio de 2023.",Revisar el cronograma y ajustar las fechas de entrega de documentos críticos.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,3,DOC_005_RCHUNK_004,2023-06-21,2023-06-21
RISK_0013,Retraso en entrega de entregable,Cronograma,Media,Alta,6,Alto,Posible retraso en la entrega del entregable 'ENT31-Modelo de operación del DataR'.,la fecha máxima de entrega de este producto es el 07 de julio de 2023,Monitorear el cumplimiento de la fecha de entrega y establecer penalizaciones por retrasos.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,3,DOC_005_RCHUNK_005,2023-06-21,2023-06-21
RISK_0015,Atraso en la ejecución del proyecto,Cronograma,Media,Alta,6,Alto,"El proyecto presenta un avance inferior al esperado, lo que indica un riesgo de atraso significativo.","un avance de ejecución del 22% real Vs. un esperado del 28%, para una desviación del 6%. Con relación a este proyecto se reportaron 118 días de atraso",Implementar un plan de recuperación de tiempos y recursos para mitigar el atraso.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,4,DOC_005_RCHUNK_006,2023-06-21,2023-06-21
RISK_0019,Falta de cronograma,Cronograma,Alta,Media,6,Alto,No se cuenta con un cronograma definido para la migración de datos.,"sin embargo, aún no se cuenta con el cronograma.",Solicitar la elaboración y entrega inmediata del cronograma de migración.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,4,DOC_005_RCHUNK_007,2023-06-21,2023-06-21
RISK_0026,Atraso en informes mensuales,Cronograma,Media,Alta,6,Alto,Retraso en la entrega de informes mensuales puede afectar la planificación del proyecto.,Atraso en el envío de los informes mensuales de operación y gestión.,Establecer un cronograma más riguroso para la entrega de informes y realizar seguimiento constante.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,5,DOC_005_RCHUNK_009,2023-06-21,2023-06-21
RISK_0014,Falta de información para habilitación de pago,Financiero,Alta,Media,6,Alto,No se ha recibido la información de parafiscales y seguridad social necesaria para habilitar el pago N°2.,"Dado que a la fecha no se ha recibido esta información, a pesar de que es un requerimiento que se envía mensualmente.",Establecer un plazo límite para la entrega de la información y considerar alternativas de pago.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,3,DOC_005_RCHUNK_005,2023-06-21,2023-06-21
RISK_0124,Descuento pendiente,Financiero,Media,Alta,6,Alto,Riesgo asociado a la falta de confirmación del descuento del 11% en el aprovisionamiento.,está pendiente la confirmación de la aplicación del descuento del 11% a partir de julio de 2025,Solicitar confirmación del descuento a la parte responsable lo antes posible.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,10,DOC_008_RCHUNK_017,2025-08-12,2025-08-12
RISK_0125,Aprovisionamiento no confirmado,Financiero,Media,Alta,6,Alto,"Riesgo relacionado con la falta de confirmación del aprovisionamiento de USD 4,280.","la confirmación del aprovisionamiento de USD 4,280 está pendiente",Realizar seguimiento inmediato para obtener la confirmación del aprovisionamiento.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,10,DOC_008_RCHUNK_017,2025-08-12,2025-08-12
RISK_0052,Falta de facturación,Financiero,Media,Alta,6,Alto,Falta de facturación en un mes anterior que puede afectar el flujo de caja.,Falta facturación en septiembre.,Realizar seguimiento a la facturación pendiente y establecer un plan para su recuperación.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,4,DOC_007_RCHUNK_007,2025-09-02,2025-09-02
RISK_0075,Descuento no confirmado,Financiero,Alta,Media,6,Alto,La falta de confirmación sobre el descuento del 11% puede impactar el presupuesto del proyecto.,Aún se espera la confirmación sobre la aplicación del descuento del 11% a partir de julio de 2025.,Solicitar seguimiento inmediato a la confirmación del descuento y ajustar el presupuesto en consecuencia.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,8,DOC_007_RCHUNK_013,2025-09-02,2025-09-02
RISK_0077,Consumo elevado de nube secundaria,Financiero,Media,Alta,6,Alto,El consumo de la nube secundaria está cerca del límite del valor aprovisionado.,"reporta un consumo de la nube secundaria del 76,66% con respecto al valor aprovisionado",Monitorear el consumo de la nube y ajustar el aprovisionamiento si es necesario.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,9,DOC_007_RCHUNK_014,2025-09-02,2025-09-02
RISK_0084,Pendiente VoBo y firma de acta,Gobierno del Proyecto,Media,Alta,6,Alto,Riesgo de retraso en la formalización de acuerdos debido a la falta de aprobación y firma de actas.,Pendiente VoBo y firma de acta sobre cierre y no continuación REQ012.,Acelerar el proceso de aprobación y firma de actas para evitar retrasos.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,2,DOC_008_RCHUNK_002,2025-08-12,2025-08-12
RISK_0103,Ajustes de formato pendientes,Gobierno del Proyecto,Media,Alta,6,Alto,Riesgo relacionado con los ajustes de formato que pueden retrasar la aprobación en el comité de cambios.,Fecha de cierre del incidente pendiente (Ajustes de formato de pruebas y formato 2180 para paso a comité de cambios),Priorizar la finalización de los ajustes de formato para asegurar la aprobación oportuna.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,5,DOC_008_RCHUNK_009,2025-08-12,2025-08-12
RISK_0104,Falta de aprobación de informes,Gobierno del Proyecto,Media,Alta,6,Alto,Retrasos en la aprobación de informes pueden afectar el avance del proyecto.,Falta aprobación del informe de actividades,Establecer un cronograma claro para la aprobación de informes y realizar seguimiento constante.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,6,DOC_008_RCHUNK_010,2025-08-12,2025-08-12
RISK_0128,Aprobación pendiente de la DIAN,Gobierno del Proyecto,Media,Alta,6,Alto,Retrasos en la aprobación de fechas propuestas por la DIAN pueden afectar el cronograma del proyecto.,estamos pendientes de la aprobación de la DIAN de las fechas propuestas para la actualización.,Establecer un seguimiento constante con la DIAN para asegurar la aprobación o identificar alternativas.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,11,DOC_008_RCHUNK_019,2025-08-12,2025-08-12
RISK_0030,Acceso a Devops,Operación,Media,Alta,6,Alto,"Riesgo de no obtener acceso a Devops, lo que puede afectar el seguimiento del proyecto.",Escalar a Kyndryl la solicitud de acceso a Devops de la Interventoría del proyecto DATAR,Asegurar el seguimiento continuo de la solicitud de acceso y establecer un plan de contingencia.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,6,DOC_005_RCHUNK_011,2023-06-21,2023-06-21
RISK_0025,Validación de riesgos digitales,Seguridad,Alta,Media,6,Alto,Necesidad de validación y aprobación de la valoración de riesgos digitales en los activos Multinube.,Kyndryl solicita la validación y aprobación por parte de la DIAN de la valoración de riesgos digitales en los activos Multinube.,Acelerar el proceso de validación y aprobación de los riesgos digitales identificados.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,5,DOC_005_RCHUNK_008,2023-06-21,2023-06-21
RISK_0038,Vulnerabilidades no identificadas,Seguridad,Alta,Media,6,Alto,"Riesgo de que las vulnerabilidades no sean identificadas a tiempo, afectando la seguridad del sistema.",Realizar sesión con el equipo DIAN DataR para acordar las fechas de entrega de los informes de vulnerabilidades y pruebas de penetración para ser incluidos en el cronograma de la Interventoría.,Asegurar que las pruebas de penetración se realicen de manera oportuna y que los informes se analicen adecuadamente.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,7,DOC_005_RCHUNK_012,2023-06-21,2023-06-21
RISK_0040,Vulnerabilidades no resueltas,Seguridad,Alta,Media,6,Alto,La necesidad de solicitar más evidencias sobre las vulnerabilidades puede indicar que no se han resuelto adecuadamente.,"la Interventoría, el 28/08/2025, solicitó más evidencias sobre las vulnerabilidades.",Asegurar que se realicen pruebas adicionales y se cierren todas las vulnerabilidades identificadas.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,2,DOC_007_RCHUNK_002,2025-09-02,2025-09-02
RISK_0059,Vulnerabilidades no abordadas,Seguridad,Alta,Media,6,Alto,Riesgo de seguridad si las vulnerabilidades identificadas no son tratadas adecuadamente.,Informe prueba de penetración Pen-test: Se propone sesión para el 3/09/2025 con el fin de revisar el alcance y riesgos de la ejecución de las actividades.,Realizar la sesión programada y asegurar que se implementen las recomendaciones del informe de penetración.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,5,DOC_007_RCHUNK_008,2025-09-02,2025-09-02
RISK_0067,Acceso público a cuentas de almacenamiento,Seguridad,Alta,Media,6,Alto,El acceso público a las cuentas de almacenamiento puede comprometer la seguridad de la información.,se espera una reunión con COEM y Ciclic para determinar la estrategia para poder restringir el acceso público a las cuentas de almacenamiento.,Definir y ejecutar una estrategia de restricción de acceso a las cuentas de almacenamiento.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,7,DOC_007_RCHUNK_011,2025-09-02,2025-09-02
RISK_0070,Falta de revisión de seguridad,Seguridad,Alta,Media,6,Alto,"Pendiente la revisión de la matriz RACI de Azure Sentinel, lo que puede comprometer la seguridad del proyecto.",sigue pendiente la revisión de la matriz RACI de Azure Sentinel por parte del director de la OSI.,Priorizar la revisión de la matriz RACI de Azure Sentinel para asegurar la implementación de las herramientas de seguridad.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,8,DOC_007_RCHUNK_012,2025-09-02,2025-09-02
RISK_0072,Obligaciones de seguridad no asumidas,Seguridad,Alta,Media,6,Alto,Kyndryl no asume las obligaciones de administración y gestión de seguridad de las herramientas nativas de las nubes.,Kyndryl no asuman las obligaciones de administración y gestión de seguridad de las herramientas nativas de las nubes.,Asegurar que Kyndryl asuma las obligaciones de seguridad necesarias para el proyecto.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,8,DOC_007_RCHUNK_012,2025-09-02,2025-09-02
RISK_0113,Errores en tipificación,Calidad,Media,Media,4,Medio,Posibilidad de que los errores identificados durante el proceso de tipificación afecten la calidad del proyecto.,se están realizando ajustes en los errores identificados durante el proceso de tipificación de errores.,Implementar un control de calidad más riguroso en el proceso de tipificación.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,8,DOC_008_RCHUNK_014,2025-08-12,2025-08-12
RISK_0092,Evaluación contractual,Contractual,Media,Media,4,Medio,Necesidad de evaluar alternativas contractuales en caso de extensión de la contingencia.,"De igual manera, se debe evaluar contractualmente las alternativas que se tendrían y evaluar un panorama crítico en caso de que la contingencia se extienda hasta octubre.",Revisar el contrato con el Consorcio para identificar opciones y cláusulas aplicables ante la contingencia.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,3,DOC_008_RCHUNK_005,2025-08-12,2025-08-12
RISK_0143,Prórroga de servicios,Contractual,Media,Media,4,Medio,Posible necesidad de prórroga de servicios que podría afectar la continuidad del proyecto.,se está tramitando un posible modificatorio que incluye servicios adicionales y una prórroga de los servicios hasta julio de 2026.,Acelerar las negociaciones con el proveedor actual para asegurar la continuidad de los servicios.,DOC_009,INT_PC_AC_Acta Seguimiento Ejecutivo_20250829.pdf,4,DOC_009_RCHUNK_007,2025-08-29,2025-08-29
RISK_0149,Prórroga del contrato,Contractual,Media,Media,4,Medio,Posible necesidad de prórroga del contrato de Multinube L1 que podría afectar la continuidad del servicio.,"En caso de aplicar una posible prórroga al contrato de Multinube L1, adelantar la negociación.",Iniciar negociaciones anticipadas para la prórroga del contrato y evaluar el impacto en la continuidad del servicio.,DOC_009,INT_PC_AC_Acta Seguimiento Ejecutivo_20250829.pdf,5,DOC_009_RCHUNK_009,2025-08-29,2025-08-29
RISK_0068,Incertidumbre en el alcance del contrato,Contractual,Media,Media,4,Medio,La inclusión de servicios adicionales al contrato puede generar confusiones sobre el alcance y costos.,"el servicio de Observabilidad, que se estaría incluyendo como un adicional al contrato, podría estar incluido en el alcance actual.",Revisar y clarificar el alcance del contrato con la Interventoría.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,7,DOC_007_RCHUNK_011,2025-09-02,2025-09-02
RISK_0078,Solicitud de modificación contractual,Contractual,Media,Media,4,Medio,La solicitud de modificación contractual puede afectar el alcance y los plazos del proyecto.,DIAN presentó una solicitud de modificación contractual a la UCP el 29/08/2025.,Evaluar el impacto de la modificación y gestionar la comunicación con DIAN.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,9,DOC_007_RCHUNK_014,2025-09-02,2025-09-02
RISK_0004,Desviaciones en el cronograma,Cronograma,Media,Media,4,Medio,Posibilidad de que se presenten desviaciones adicionales en el cronograma de los proyectos.,la Interventoría responde que se mantienen los porcentajes de desviación del cronograma de los proyectos con respecto a la semana anterior,Realizar un análisis de las causas de las desviaciones y establecer medidas correctivas.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,2,DOC_005_RCHUNK_002,2023-06-21,2023-06-21
RISK_0005,Desviación del cronograma en DataR,Cronograma,Media,Media,4,Medio,Atrasos en la fase de habilitación de herramientas que pueden afectar el cronograma del proyecto.,"la desviación del avance es del 1% debido a las demoras en el cierre de las fases de entendimiento y diseño, habilitación de las herramientas y Diseño de procesos.",Monitorear de cerca los entregables en ciclo de revisión y asegurar la entrega a tiempo.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,2,DOC_005_RCHUNK_003,2023-06-21,2023-06-21
RISK_0006,Atrasos en entregables de NGSA,Cronograma,Media,Media,4,Medio,Atrasos en los entregables asociados al Sprint 1 y 2 del MVP01 que pueden impactar el avance del proyecto.,la desviación a la fecha de corte es de 6% resultado del continuo atraso de los entregables asociados al Sprint 1 y 2 del MVP01.,Revisar el plan de trabajo y ajustar los recursos para cumplir con los entregables pendientes.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,2,DOC_005_RCHUNK_003,2023-06-21,2023-06-21
RISK_0010,Cierre tardío del entregable,Cronograma,Media,Media,4,Medio,Propuesta de cierre del entregable posterior a la fecha de puesta en operación.,Propuesta del Consorcio del cierre del entregable 31-Modelo de operación del DataR para el 12 de julio de 2023.,Negociar con el Consorcio para adelantar el cierre del entregable.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,3,DOC_005_RCHUNK_004,2023-06-21,2023-06-21
RISK_0048,Pendiente de validación del despliegue,Despliegues,Media,Media,4,Medio,Retrasos en la validación del despliegue a preproductivo pueden afectar el cronograma del proyecto.,Pendiente: validación del despliegue a preproductivo DIAN e Interventoría.,Acelerar el proceso de validación con DIAN e Interventoría para cumplir con el cronograma.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,4,DOC_007_RCHUNK_006,2025-09-02,2025-09-02
RISK_0011,Radicación tardía de pago,Financiero,Media,Media,4,Medio,Retraso en la radicación del pago que puede afectar la financiación del proyecto.,Radicación tardía del pago 2 asociado al Ent03 – Diseño detallado de la solución tecnológica del DataR.,Acelerar el proceso de radicación de pagos para evitar retrasos financieros.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,3,DOC_005_RCHUNK_004,2023-06-21,2023-06-21
RISK_0024,Incremento en consumos,Financiero,Media,Media,4,Medio,Incremento de 1.2 millones en consumos al cierre del año.,Se realizó el análisis de consumos y se evidencia un incremento de 1.2 millones al cierre del año.,Realizar un análisis detallado de los consumos y establecer medidas de control financiero.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,5,DOC_005_RCHUNK_008,2023-06-21,2023-06-21
RISK_0032,Unificación de valores financieros,Financiero,Media,Media,4,Medio,Riesgo de inconsistencias en los informes financieros que pueden afectar la toma de decisiones.,Unificar los valores de las gráficas del capítulo financiero del informe de seguimiento semanal de la Interventoría.,Implementar un proceso de revisión y validación de los informes financieros.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,6,DOC_005_RCHUNK_011,2023-06-21,2023-06-21
RISK_0099,Descuento de horas no definido,Financiero,Media,Media,4,Medio,La falta de claridad sobre el descuento de horas puede llevar a un uso ineficiente de recursos.,"La Interventoría, se recomienda que se evalúe dónde se debe realizar el descuento de las horas que se iban a usar inicialmente para el REQ012.",Definir claramente el uso de horas disponibles y su asignación a los requerimientos.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,5,DOC_008_RCHUNK_008,2025-08-12,2025-08-12
RISK_0120,Estimación de costos pendiente,Financiero,Media,Media,4,Medio,Falta de estimación de costos para la replicación de bases de datos que puede afectar el presupuesto.,Está pendiente la estimación de costos para esta replicación.,Priorizar la estimación de costos y su inclusión en el presupuesto del proyecto.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,9,DOC_008_RCHUNK_015,2025-08-12,2025-08-12
RISK_0050,Falta de facturación,Financiero,Media,Media,4,Medio,La falta de facturación puede afectar el flujo de caja del proyecto.,Febrero: Falta facturación en septiembre.,Establecer un seguimiento riguroso de la facturación para evitar problemas financieros.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,4,DOC_007_RCHUNK_006,2025-09-02,2025-09-02
RISK_0062,Retraso en la facturación,Financiero,Media,Media,4,Medio,Posible retraso en el proceso de facturación de los informes de operación.,Se espera el proceso de facturación de los informes de operación de julio de 2025 en el mes de septiembre de 2025.,Monitorear el avance del proceso de facturación y establecer un cronograma claro.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,6,DOC_007_RCHUNK_010,2025-09-02,2025-09-02
RISK_0098,Pendiente de firma y revisión de acta,Gobierno del Proyecto,Media,Media,4,Medio,Retrasos en la firma y revisión de actas pueden afectar el avance del proyecto.,Pendiente: firma y revisión de acta (Consorcio) y cierre del REQ en Service Now.,Acelerar el proceso de firma y revisión de actas para evitar retrasos.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,5,DOC_008_RCHUNK_008,2025-08-12,2025-08-12
RISK_0114,Pendiente de definición de arquitectura,Gobierno del Proyecto,Media,Media,4,Medio,Falta de presentación del diseño final de la arquitectura puede causar desalineación en el proyecto.,está pendiente la presentación del diseño final de la arquitectura.,Programar una fecha límite para la presentación del diseño final y asegurar la participación de todas las partes interesadas.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,8,DOC_008_RCHUNK_014,2025-08-12,2025-08-12
RISK_0122,Revisión de matriz RACI pendiente,Gobierno del Proyecto,Media,Media,4,Medio,Falta de revisión de la matriz RACI de Azure Sentinel que puede afectar la gestión de seguridad.,sigue pendiente la revisión de la matriz RACI de Azure Sentinel por parte del director de la OSI.,Acelerar la revisión de la matriz RACI y asegurar su implementación.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,9,DOC_008_RCHUNK_015,2025-08-12,2025-08-12
RISK_0053,Falta de firma de informe,Gobierno del Proyecto,Media,Media,4,Medio,Retraso en la firma de informes que puede afectar la continuidad del proyecto.,Falta firma de informe de actividades por parte de DIAN.,Coordinar con DIAN para obtener la firma del informe de actividades a la brevedad.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,4,DOC_007_RCHUNK_007,2025-09-02,2025-09-02
RISK_0064,Revisión de cambios solicitados,Gobierno del Proyecto,Media,Media,4,Medio,Revisión pendiente de la solicitud de cambio que puede afectar el avance del proyecto.,La DIAN solicita a la Interventoría revisar lo sucedido con la solicitud de cambio CHG0030852.,Realizar un seguimiento a la revisión de la solicitud de cambio y asegurar su resolución.,DOC_007,INT_PC_AC_Acta Seguimiento Interventoria_20250902_.pdf,6,DOC_007_RCHUNK_010,2025-09-02,2025-09-02
RISK_0037,Acceso limitado a ambiente de desarrollo,Operación,Media,Media,4,Medio,"Riesgo de no obtener acceso al ambiente de desarrollo de DataR, lo que puede afectar el avance del proyecto.",Generar comunicado desde la interventoría solicitando acceso a ambiente de desarrollo DataR.,Acelerar la solicitud de acceso y establecer un plan de contingencia en caso de no obtenerlo a tiempo.,DOC_005,INT_PC_AC_Acta Seguimiento Interventoria_20230621.pdf,7,DOC_005_RCHUNK_012,2023-06-21,2023-06-21
RISK_0121,Aprobación de informes pendiente,Gobierno del Proyecto,Baja,Media,2,Bajo,Retraso en la aprobación de informes mensuales que puede afectar la visibilidad del proyecto.,está pendiente la aprobación por parte de la interventoría.,Establecer un proceso claro para la revisión y aprobación de informes.,DOC_008,INT_PC_AC_Acta Seguimiento Interventoria_20250812.pdf,9,DOC_008_RCHUNK_015,2025-08-12,2025-08-12
